id,name,hex,r,g,b
seashell_css,"Seashell",#fff5ee,255,245,238
sienna_css,"Sienna",#a0522d,160,82,45
silver_css,"Silver",#c0c0c0,192,192,192
sky_blue_css,"Sky Blue",#87ceeb,135,206,235
slate_blue_css,"Slate Blue",#6a5acd,106,90,205
slate_gray_css,"Slate Gray",#708090,112,128,144
slate_grey_css,"Slate Grey",#708090,112,128,144
snow_css,"Snow",#fffafa,255,250,250
spring_green_css,"Spring Green",#00ff7f,0,255,127
steel_blue_css,"Steel Blue",#4682b4,70,130,180
tan_css,"Tan",#d2b48c,210,180,140
teal_css,"Teal",#008080,0,128,128
thistle_css,"Thistle",#d8bfd8,216,191,216
tomato_css,"Tomato",#ff6347,255,99,71
turquoise_css,"Turquoise",#40e0d0,64,224,208
violet_css,"Violet",#ee82ee,238,130,238
wheat_css,"Wheat",#f5deb3,245,222,179
white_css,"White",#ffffff,255,255,255
white_smoke_css,"White Smoke",#f5f5f5,245,245,245
yellow_css,"Yellow",#ffff00,255,255,0
yellow_green_css,"Yellow Green",#9acd32,154,205,50
